y_vector,Q_vector,k_vector
-1,1.25613414333708,0.563847834871307
-0.999,1.25613414413031,0.563847834871308
-0.998,1.25613414492275,0.563847834871308
-0.997,1.2561341457144,0.563847834871309
-0.996,1.25613414650525,0.563847834871309
-0.995,1.2561341472953,0.56384783487131
-0.994,1.25613414808457,0.56384783487131
-0.993,1.25613414887304,0.56384783487131
-0.992,1.25613414966072,0.563847834871311
-0.991,1.2561341504476,0.563847834871311
-0.99,1.25613415123369,0.563847834871312
-0.989,1.25613415201898,0.563847834871313
-0.988,1.25613415280349,0.563847834871314
-0.987,1.25613415358719,0.563847834871314
-0.986,1.25613415437011,0.563847834871315
-0.985,1.25613415515223,0.563847834871316
-0.984,1.25613415593356,0.563847834871316
-0.983,1.25613415671409,0.563847834871317
-0.982,1.25613415749383,0.563847834871318
-0.981,1.25613415827278,0.563847834871319
-0.98,1.25613415905093,0.56384783487132
-0.979,1.25613415982829,0.563847834871321
-0.978,1.25613416060486,0.563847834871322
-0.977,1.25613416138063,0.563847834871324
-0.976,1.25613416215561,0.563847834871325
-0.975,1.25613416292979,0.563847834871326
-0.974,1.25613416370318,0.563847834871328
-0.973,1.25613416447578,0.563847834871329
-0.972,1.25613416524758,0.563847834871331
-0.971,1.25613416601859,0.563847834871332
-0.97,1.25613416678881,0.563847834871334
-0.969,1.25613416755823,0.563847834871336
-0.968,1.25613416832686,0.563847834871338
-0.967,1.2561341690947,0.56384783487134
-0.966,1.25613416986174,0.563847834871342
-0.965,1.25613417062799,0.563847834871345
-0.964,1.25613417139344,0.563847834871347
-0.963,1.2561341721581,0.56384783487135
-0.962,1.25613417292197,0.563847834871353
-0.961,1.25613417368504,0.563847834871356
-0.96,1.25613417444732,0.563847834871359
-0.959,1.25613417520881,0.563847834871362
-0.958,1.2561341759695,0.563847834871366
-0.957,1.25613417672939,0.563847834871369
-0.956,1.2561341774885,0.563847834871373
-0.955,1.25613417824681,0.563847834871377
-0.954,1.25613417900433,0.563847834871382
-0.953,1.25613417976105,0.563847834871386
-0.952,1.25613418051698,0.563847834871391
-0.951,1.25613418127211,0.563847834871396
-0.95,1.25613418202645,0.563847834871401
-0.949,1.25613418278,0.563847834871407
-0.948,1.25613418353276,0.563847834871413
-0.947,1.25613418428472,0.56384783487142
-0.946,1.25613418503588,0.563847834871426
-0.945,1.25613418578626,0.563847834871433
-0.944,1.25613418653583,0.563847834871441
-0.943,1.25613418728462,0.563847834871449
-0.942,1.25613418803261,0.563847834871457
-0.941,1.25613418877981,0.563847834871466
-0.94,1.25613418952621,0.563847834871475
-0.939,1.25613419027182,0.563847834871485
-0.938,1.25613419101663,0.563847834871496
-0.937,1.25613419176065,0.563847834871507
-0.936,1.25613419250388,0.563847834871518
-0.935,1.25613419324631,0.56384783487153
-0.934,1.25613419398795,0.563847834871543
-0.933,1.2561341947288,0.563847834871556
-0.932,1.25613419546885,0.563847834871571
-0.931,1.25613419620811,0.563847834871586
-0.93,1.25613419694657,0.563847834871602
-0.929,1.25613419768424,0.563847834871619
-0.928,1.25613419842111,0.563847834871636
-0.927,1.25613419915719,0.563847834871655
-0.926,1.25613419989248,0.563847834871675
-0.925,1.25613420062697,0.563847834871695
-0.924,1.25613420136067,0.563847834871718
-0.923,1.25613420209357,0.563847834871741
-0.922,1.25613420282568,0.563847834871765
-0.921,1.25613420355699,0.56384783487179
-0.92,1.25613420428751,0.563847834871818
-0.919,1.25613420501724,0.563847834871846
-0.918,1.25613420574617,0.563847834871876
-0.917,1.25613420647431,0.563847834871908
-0.916,1.25613420720165,0.563847834871941
-0.915,1.2561342079282,0.563847834871977
-0.914,1.25613420865395,0.563847834872014
-0.913,1.2561342093789,0.563847834872053
-0.912,1.25613421010307,0.563847834872094
-0.911,1.25613421082644,0.563847834872138
-0.91,1.25613421154901,0.563847834872183
-0.909,1.25613421227079,0.563847834872232
